#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: ip.hop.packet.outgoing.delay
#  Description: Outgoing packet delay [s]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0024354
#  Maximum: 0.0024354
#  Trials: 2082
#  Mean: 0.0024354
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000001
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 0.0000059
#  3rd moment: 0.0000000
# 
#  Sum of all values: 5.0705028
#  (Sum of all values)^2: 0.0123487
#  (Sum of all values)^3: 0.0000301
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 0.01
#  Resolution of x-axis: 1000
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0024301
#  P02: 0.0024301
#  P03: 0.0024302
#  P04: 0.0024302
#  P05: 0.0024303
#  P06: 0.0024303
#  P07: 0.0024304
#  P08: 0.0024304
#  P09: 0.0024305
#  P10: 0.0024305
#  P11: 0.0024306
#  P12: 0.0024306
#  P13: 0.0024307
#  P14: 0.0024308
#  P15: 0.0024308
#  P16: 0.0024309
#  P17: 0.0024309
#  P18: 0.0024310
#  P19: 0.0024310
#  P20: 0.0024311
#  P21: 0.0024311
#  P22: 0.0024312
#  P23: 0.0024312
#  P24: 0.0024313
#  P25: 0.0024314
#  P26: 0.0024314
#  P27: 0.0024315
#  P28: 0.0024315
#  P29: 0.0024316
#  P30: 0.0024316
#  P31: 0.0024317
#  P32: 0.0024317
#  P33: 0.0024318
#  P34: 0.0024318
#  P35: 0.0024319
#  P36: 0.0024319
#  P37: 0.0024320
#  P38: 0.0024321
#  P39: 0.0024321
#  P40: 0.0024322
#  P41: 0.0024322
#  P42: 0.0024323
#  P43: 0.0024323
#  P44: 0.0024324
#  P45: 0.0024324
#  P46: 0.0024325
#  P47: 0.0024325
#  P48: 0.0024326
#  P49: 0.0024326
#  P50: 0.0024327
#  P51: 0.0024328
#  P52: 0.0024328
#  P53: 0.0024329
#  P54: 0.0024329
#  P55: 0.0024330
#  P56: 0.0024330
#  P57: 0.0024331
#  P58: 0.0024331
#  P59: 0.0024332
#  P60: 0.0024332
#  P61: 0.0024333
#  P62: 0.0024333
#  P63: 0.0024334
#  P64: 0.0024335
#  P65: 0.0024335
#  P66: 0.0024336
#  P67: 0.0024336
#  P68: 0.0024337
#  P69: 0.0024337
#  P70: 0.0024338
#  P71: 0.0024338
#  P72: 0.0024339
#  P73: 0.0024339
#  P74: 0.0024340
#  P75: 0.0024341
#  P76: 0.0024341
#  P77: 0.0024342
#  P78: 0.0024342
#  P79: 0.0024343
#  P80: 0.0024343
#  P81: 0.0024344
#  P82: 0.0024344
#  P83: 0.0024345
#  P84: 0.0024345
#  P85: 0.0024346
#  P86: 0.0024346
#  P87: 0.0024347
#  P88: 0.0024348
#  P89: 0.0024348
#  P90: 0.0024349
#  P91: 0.0024349
#  P92: 0.0024350
#  P93: 0.0024350
#  P94: 0.0024351
#  P95: 0.0024351
#  P96: 0.0024352
#  P97: 0.0024352
#  P98: 0.0024353
#  P99: 0.0024353
#  P100: 0.0024354
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
0.0000100           0.0000000       1.0000000       0.0000000     1
0.0000200           0.0000000       1.0000000       0.0000000     2
0.0000300           0.0000000       1.0000000       0.0000000     3
0.0000400           0.0000000       1.0000000       0.0000000     4
0.0000500           0.0000000       1.0000000       0.0000000     5
0.0000600           0.0000000       1.0000000       0.0000000     6
0.0000700           0.0000000       1.0000000       0.0000000     7
0.0000800           0.0000000       1.0000000       0.0000000     8
0.0000900           0.0000000       1.0000000       0.0000000     9
0.0001000           0.0000000       1.0000000       0.0000000    10
0.0001100           0.0000000       1.0000000       0.0000000    11
0.0001200           0.0000000       1.0000000       0.0000000    12
0.0001300           0.0000000       1.0000000       0.0000000    13
0.0001400           0.0000000       1.0000000       0.0000000    14
0.0001500           0.0000000       1.0000000       0.0000000    15
0.0001600           0.0000000       1.0000000       0.0000000    16
0.0001700           0.0000000       1.0000000       0.0000000    17
0.0001800           0.0000000       1.0000000       0.0000000    18
0.0001900           0.0000000       1.0000000       0.0000000    19
0.0002000           0.0000000       1.0000000       0.0000000    20
0.0002100           0.0000000       1.0000000       0.0000000    21
0.0002200           0.0000000       1.0000000       0.0000000    22
0.0002300           0.0000000       1.0000000       0.0000000    23
0.0002400           0.0000000       1.0000000       0.0000000    24
0.0002500           0.0000000       1.0000000       0.0000000    25
0.0002600           0.0000000       1.0000000       0.0000000    26
0.0002700           0.0000000       1.0000000       0.0000000    27
0.0002800           0.0000000       1.0000000       0.0000000    28
0.0002900           0.0000000       1.0000000       0.0000000    29
0.0003000           0.0000000       1.0000000       0.0000000    30
0.0003100           0.0000000       1.0000000       0.0000000    31
0.0003200           0.0000000       1.0000000       0.0000000    32
0.0003300           0.0000000       1.0000000       0.0000000    33
0.0003400           0.0000000       1.0000000       0.0000000    34
0.0003500           0.0000000       1.0000000       0.0000000    35
0.0003600           0.0000000       1.0000000       0.0000000    36
0.0003700           0.0000000       1.0000000       0.0000000    37
0.0003800           0.0000000       1.0000000       0.0000000    38
0.0003900           0.0000000       1.0000000       0.0000000    39
0.0004000           0.0000000       1.0000000       0.0000000    40
0.0004100           0.0000000       1.0000000       0.0000000    41
0.0004200           0.0000000       1.0000000       0.0000000    42
0.0004300           0.0000000       1.0000000       0.0000000    43
0.0004400           0.0000000       1.0000000       0.0000000    44
0.0004500           0.0000000       1.0000000       0.0000000    45
0.0004600           0.0000000       1.0000000       0.0000000    46
0.0004700           0.0000000       1.0000000       0.0000000    47
0.0004800           0.0000000       1.0000000       0.0000000    48
0.0004900           0.0000000       1.0000000       0.0000000    49
0.0005000           0.0000000       1.0000000       0.0000000    50
0.0005100           0.0000000       1.0000000       0.0000000    51
0.0005200           0.0000000       1.0000000       0.0000000    52
0.0005300           0.0000000       1.0000000       0.0000000    53
0.0005400           0.0000000       1.0000000       0.0000000    54
0.0005500           0.0000000       1.0000000       0.0000000    55
0.0005600           0.0000000       1.0000000       0.0000000    56
0.0005700           0.0000000       1.0000000       0.0000000    57
0.0005800           0.0000000       1.0000000       0.0000000    58
0.0005900           0.0000000       1.0000000       0.0000000    59
0.0006000           0.0000000       1.0000000       0.0000000    60
0.0006100           0.0000000       1.0000000       0.0000000    61
0.0006200           0.0000000       1.0000000       0.0000000    62
0.0006300           0.0000000       1.0000000       0.0000000    63
0.0006400           0.0000000       1.0000000       0.0000000    64
0.0006500           0.0000000       1.0000000       0.0000000    65
0.0006600           0.0000000       1.0000000       0.0000000    66
0.0006700           0.0000000       1.0000000       0.0000000    67
0.0006800           0.0000000       1.0000000       0.0000000    68
0.0006900           0.0000000       1.0000000       0.0000000    69
0.0007000           0.0000000       1.0000000       0.0000000    70
